Result,Count
000000000011011000100100001001,1
010000001110000010100100010011,1
100000001110000000111100000010,1
010000001011010010000000100010,1
000000000010000000110100011010,1
010000001010011000010100011011,1
000000001010001010111101001011,1
100000001111010010010101001001,1
110000001101011010101100101010,1
010000000101010010000100000011,1
010000001111000000100101000001,1
110000000111001010000100101011,1
110000000111000000110100010010,1
100000000001000010110101001010,1
000000001011001010110001000010,3
100000001111010000010101101001,1
000000001110011000110101111011,1
000000001000010010110101001011,1
000000000001011000010101111001,1
000000001010000010001101101010,2
100000000111011010000000101010,1
010000001010000000100101010011,1
100000000111000010111000000010,1
000000001010000000101101110010,1
110000001011010000100100001000,1
000000001111010000010001011011,1
010000000010010010010101011011,1
010000001110000000000101101011,1
110000001111010000001101001001,1
000000000100011000111101100011,1
010000001111010000011000011010,1
000000001000010010011101000010,1
110000000011010010101101111011,2
010000000110011010001101110010,1
110000001111011010010101110010,1
000000000101000000111100101010,1
100000001001000000100101101010,1
010000000111001010010101011010,1
100000001001010000010100111010,1
000000001101010010110101001001,1
100000000011000010001101001010,1
010000001101010010101100011011,1
100000001011001010100001100011,1
100000000001000000110101101011,1
100000001011000010100000101010,1
100000001011011100110101100011,1
000000001000011000100101101010,1
100000001011010010110001000011,1
010000000010000000001101100011,1
110000000110010010010101100010,1
010000001011010000011101000001,1
110000001010001010011100001011,1
000000001001011010110100010011,1
000000001001011000110101011010,1
000000001111001000111101010000,1
000000001111010010101000111011,1
010000000110011010001100000010,1
110000001111010000100001111011,1
000000001111011010001101101001,1
110000000011010010101000001010,1
000000001010001000101100011010,1
110000000010011000010100100011,1
100000000110010000100100101010,1
110000001011011000000001101011,1
000000001001010010111001001010,1
000000001010001000011100000010,1
010000001001010000101101111010,1
100000000011001000000100111010,1
000000000010001000000100101011,1
000000001111011000111101101001,1
100000001010001010000101001011,1
000000001011010000001001000010,2
010000001111001000101001000011,1
010000001101011010111100011011,1
110000000110010000011100101011,1
000000001110001000010101000011,1
010000000111011010001000100011,1
110000000011000010100000101010,1
100000001111001000001101100001,1
010000001000011000110100100011,1
000000001010001000010100111010,1
110000000011000010100100100010,1
010000000011000000100000100010,1
110000001011010000001000001010,1
110000001111011010001000101010,1
110000001111011000001001101010,1
100000001001011010101101101010,1
000000001001011000111000000011,1
000000001010010010100100111011,1
110000000110001010101100100011,1
000000001010001010100101111010,1
010000001001000010111101111011,1
010000001100011010111100101011,1
010000000111000010011101010010,1
010000000110011000100000001011,1
110000001111010000110100001001,1
110000001010000000110100100011,2
100000001110010010110100111011,1
000000001101011010001100011010,1
010000000111011000001101010011,2
100000001010010010101100100011,2
110000001111011010101000010011,1
010000000010010000111101101011,2
000000001010001000011101001010,1
010000000111000000111100010010,1
010000001011000000100101100000,1
010000001110010010001100111010,1
110000000011010000101101010010,1
010000001111011010111001010011,1
000000000100001000010100100011,1
110000001010001010100100101010,1
100000000110010000110100100011,1
010000001011010000001001000011,1
000000000111000000110100001000,1
010000001110000000010101101011,2
100000001101011010001101110011,1
000000001011011010001001111011,1
000000000111010000111100101000,1
010000000111010000101000111010,1
110000001000011000101101001011,1
100000001011010000011000000011,1
010000001101001010111101100010,1
110000000101011010011000000010,1
110000000001011000100100101011,1
110000000010010000001100110011,1
010000001111001000001100101001,1
000000001110010010100000001010,1
010000001011010010000101101001,1
100000000111001010000100010010,1
100000001011010010101001101010,1
010000001010001010001101000010,1
110000001111001000010100010010,1
000000001111010010100001111011,1
110000001001010000110101000010,1
010000001010010010111101110010,1
000000001110001000110100110011,1
000000000010011000111100011010,1
110000001110011010110101000010,1
010000000001011010011101000011,1
100000000110010000000100001011,1
110000001110011010001100001010,1
100000001101011000111101001011,1
110000001110000010110100101010,1
000000000011000000110000111011,1
110000001111000000101001101011,1
000000001111000010001000100010,1
000000001111000000101101001001,1
000000001010010000001100110011,1
010000000111001000101000010011,1
110000001111000010011101000011,3
110000001011000000011100110010,1
000000001110000010110101000010,1
110000001111001000011100111011,1
000000000001011000111101111010,1
000000000011000000001100110010,1
100000001010001000000001000010,1
100000000011011000000001101011,1
100000001010011010101101011011,1
110000000111010010111100011011,1
100000000111001010111101000010,1
110000001010011010111100000011,1
110000001011001000111100010001,1
000000001100011010110101000010,1
000000000011001010000000100010,1
110000000111011000100101000000,1
110000000111010000111100010010,1
010000001111011000011100001000,1
010000000111011000101000101011,1
000000001010010000100100100000,1
110000000111011000011100110010,1
010000000101000010101100011011,1
110000000001001010000100100011,1
010000000011010000001001101011,1
000000000110011000101101000011,1
010000000011001010110100110010,1
000000001011000010100101000000,1
000000001001001000101101110010,1
000000001110000010110100011010,1
000000000111010000011001000010,1
010000001011001010111000101010,1
010000000110010000111101100010,1
010000001011010000110000010010,1
010000001111010000000000100000,1
000000000010010000001100100010,2
000000001001010000101100011011,1
110000000001000010111101100011,1
000000001111000010001101011011,1
000000000001011010010101010011,1
000000000011010000001000001011,1
000000001100001000101101101011,1
000000001001000010111100011011,1
000000000111001000100000001010,1
010000000101010000101101101011,1
100000000110011000100100100011,1
110000001001010010110100100010,1
000000001101001000011100000011,1
010000000010011010110000101010,1
010000000110011010001101011010,1
000000000100010000100100101011,1
100000000010011010010101011011,1
000000000010010000010100100010,1
000000001111010000110100010001,1
100000001011011000100100011000,1
000000001111000010101100100001,1
000000001101001010010100001011,1
000000000010000010101101000010,1
010000001011001000001101110011,1
010000000011001000111101100001,1
000000001101010000011100111011,1
010000001110000010101100001011,1
110000001101000010110101100011,1
010000000011010000110101100001,1
000000001101001000010100100001,1
010000001010010010001100111010,1
000000000101000010101101101010,1
110000001010001000101101000011,1
000000001101010000110100111011,1
010000001010001010011100101010,1
000000001111010000001000110011,1
000000001001010000101000000010,1
010000001101001000101101001010,1
010000000010001000111101000011,1
100000001011001010101101011011,1
100000001111010000101001000011,1
000000001010010010101100010011,1
000000001100010010011100100010,1
000000001011000000001001100010,1
010000001001000000101100110010,1
000000000011001010100100001000,1
100000000111010000111000101010,1
110000000011011010110100110010,1
010000001110010000011100100011,1
010000000010011000011101010011,1
100000000010010000101100001010,1
100000000111010010100101010011,1
000000000110010010011100000011,1
010000000110010000010001100011,1
010000001000011000111101110011,1
000000000001011010110101000011,1
010000001011010100100101100011,1
110000001010001010001100101010,1
000000000101001010001100000010,1
110000001001010010111100101010,1
010000000001010010101101101011,1
100000001011001000010101011010,1
000000001111000000111100000001,1
000000001111011000001101100000,1
000000001011010010001000011011,1
100000001111011010000001101010,1
010000000011011000100000011010,1
000000000001000010111100000010,1
010000001111010000010001011010,1
010000001011010000001100100001,1
